"ID","Project","FunctionalArea","Role","Focus","ScriptName","TestDescription","login","password","powerup_number","SqlQuery","Databases","DB_ENV","Endpoints","SVC_ENV","Property","PROP_URL","env","browser"
"TFS72929","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS72929 Redirect to Pre-approval Landing Page'","Redirect to Pre-approval Landing Page","eileen11_cp@qagsecomprod.oib.com","eileen11",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS72930","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS72930 Redirect to Generic Landing Page'","Redirect to Generic Landing Page","eileen86_cp@qagsecomprod.oib.com","Testing123",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS72927","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS72927 Redirect to Non PUR Landing Page'","Redirect to Non-PUR Landing Page","eileen102_cp@qagsecomprod.oib.com","Testing123",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS72928","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS72928 Redirect to Manage Account Landing Page'","Redirect to Manage Account Landing Page","RODNEY.KFZHGZ.1168@gspcauto.fav.cc","Testing123",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS70937","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS70937 Show Short Form Application Page'","Show Short Form Application Page","eileen11_cp@qagsecomprod.oib.com","eileen11",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS71194","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS71194 Show Long Form Application Page'","Show Long Form Application Page","eileen86_cp@qagsecomprod.oib.com","Testing123",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS71595","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS71595 Validate Short Form Application Page'","Validate Short Form Application Page","eileen11_cp@qagsecomprod.oib.com","eileen11",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS70949","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS70949 Validate Long Form Application Page'","Validate Long Form Application Page","eileen86_cp@qagsecomprod.oib.com","Testing123",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS70973","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS70973 Validate Long Form not pre-filled'","Validate Long Form not pre-filled","eileen86_cp@qagsecomprod.oib.com","Testing123",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
"TFS72861","PURCC","Login","AU","Landing Page","%QAAUTOMATION_SCRIPTS%\GameStop\Spec\UI\GS\purcc_verify_landing_page_spec.rb  -e 'TFS72861 Show Short Form Application Page Personal Info truncated when exceeds max length'","Show Short Form Application Page Personal Info truncated when exceeds max length","eileen11_cp@qagsecomprod.oib.com","eileen11",,"get_single_product.sql","databases.csv","QA_Catalog","endpoints.csv","QA_V1","properties.csv","QA_GS","QA","Chrome"
">>>>>>> dev",,,,,,,,,,,,,,,,,,
